run,rule,leaf_condition,rows,win,depth,num_conditions,rule_key
21,(card_Category == Blue) AND (Avg_Utilization_Ratio <= 0) AND (education_Level == Uneducated),education_Level == Uneducated,4,-35,2,3,(card_Category == Blue) AND (Avg_Utilization_Ratio <= 0) AND (education_Level == Uneducated)
22,(Avg_Utilization_Ratio > 0),Avg_Utilization_Ratio > 0,22,23,0,1,(Avg_Utilization_Ratio > 0)
22,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0.1),Avg_Utilization_Ratio <= 0.1,16,47,1,2,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0.1)
22,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0.1) AND (income_Category == $80K - $120K),income_Category == $80K - $120K,9,56,2,3,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0.1) AND (income_Category == $80K - $120K)
22,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0.1) AND (income_Category == $80K - $120K) AND (marital_Status == Single),marital_Status == Single,4,60,3,4,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0.1) AND (income_Category == $80K - $120K) AND (marital_Status == Single)
22,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0.1) AND (income_Category == $80K - $120K) AND (marital_Status == Married),marital_Status == Married,4,41,3,4,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0.1) AND (income_Category == $80K - $120K) AND (marital_Status == Married)
22,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.1),Avg_Utilization_Ratio > 0.1,6,-39,1,2,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.1)
22,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.1) AND (Months_on_book <= 31),Months_on_book <= 31,3,-14,2,3,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.1) AND (Months_on_book <= 31)
22,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.1) AND (Months_on_book > 31),Months_on_book > 31,3,-64,2,3,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.1) AND (Months_on_book > 31)
22,(Avg_Utilization_Ratio <= 0),Avg_Utilization_Ratio <= 0,8,-65,0,1,(Avg_Utilization_Ratio <= 0)
23,(card_Category == Silver),card_Category == Silver,11,33,0,1,(card_Category == Silver)
23,(card_Category == Silver) AND (income_Category == $120K +),income_Category == $120K +,3,58,1,2,(card_Category == Silver) AND (income_Category == $120K +)
23,(card_Category == Blue),card_Category == Blue,18,-21,0,1,(card_Category == Blue)
23,(card_Category == Blue) AND (education_Level == Graduate),education_Level == Graduate,10,-20,1,2,(card_Category == Blue) AND (education_Level == Graduate)
23,(card_Category == Blue) AND (education_Level == Graduate) AND (Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1 <= 0.00010684),Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1 <= 0.00010684,5,-2,2,3,(card_Category == Blue) AND (education_Level == Graduate) AND (Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1 <= 0.00010684)
23,(card_Category == Blue) AND (education_Level == Graduate) AND (Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1 <= 0.00010684) AND (marital_Status == Single),marital_Status == Single,3,3,3,4,(card_Category == Blue) AND (education_Level == Graduate) AND (Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1 <= 0.00010684) AND (marital_Status == Single)
23,(card_Category == Blue) AND (education_Level == Graduate) AND (Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1 > 0.00010684),Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1 > 0.00010684,5,-37,2,3,(card_Category == Blue) AND (education_Level == Graduate) AND (Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1 > 0.00010684)
23,(card_Category == Blue) AND (education_Level == Unknown),education_Level == Unknown,3,-21,1,2,(card_Category == Blue) AND (education_Level == Unknown)
24,(income_Category == $60K - $80K),income_Category == $60K - $80K,3,45,0,1,(income_Category == $60K - $80K)
24,(income_Category == $80K - $120K),income_Category == $80K - $120K,12,23,0,1,(income_Category == $80K - $120K)
24,(income_Category == $80K - $120K) AND (education_Level == College),education_Level == College,5,29,1,2,(income_Category == $80K - $120K) AND (education_Level == College)
24,(income_Category == $80K - $120K) AND (education_Level == Graduate),education_Level == Graduate,3,-2,1,2,(income_Category == $80K - $120K) AND (education_Level == Graduate)
24,(income_Category == $40K - $60K),income_Category == $40K - $60K,6,-12,0,1,(income_Category == $40K - $60K)
24,(income_Category == Less than $40K),income_Category == Less than $40K,7,-33,0,1,(income_Category == Less than $40K)
24,(income_Category == Less than $40K) AND (attrition_Flag == Existing Customer),attrition_Flag == Existing Customer,6,-22,1,2,(income_Category == Less than $40K) AND (attrition_Flag == Existing Customer)
25,(income_Category == $80K - $120K),income_Category == $80K - $120K,6,24,0,1,(income_Category == $80K - $120K)
25,(income_Category == $120K +),income_Category == $120K +,10,21,0,1,(income_Category == $120K +)
