run,rule,leaf_condition,rows,win,depth,num_conditions,rule_key
6,(Avg_Utilization_Ratio > 0.098) AND (Avg_Utilization_Ratio > 0.291),Avg_Utilization_Ratio > 0.291,9,-31,1,2,(Avg_Utilization_Ratio > 0.098) AND (Avg_Utilization_Ratio > 0.291)
6,(Avg_Utilization_Ratio > 0.098) AND (Avg_Utilization_Ratio > 0.291) AND (education_Level == Uneducated),education_Level == Uneducated,3,-35,2,3,(Avg_Utilization_Ratio > 0.098) AND (Avg_Utilization_Ratio > 0.291) AND (education_Level == Uneducated)
7,(Total_Trans_Amt <= 2748),Total_Trans_Amt <= 2748,15,17,0,1,(Total_Trans_Amt <= 2748)
7,(Total_Trans_Amt <= 2748) AND (income_Category == $80K - $120K),income_Category == $80K - $120K,4,49,1,2,(Total_Trans_Amt <= 2748) AND (income_Category == $80K - $120K)
7,(Total_Trans_Amt <= 2748) AND (income_Category == $120K +),income_Category == $120K +,3,35,1,2,(Total_Trans_Amt <= 2748) AND (income_Category == $120K +)
7,(Total_Trans_Amt <= 2748) AND (income_Category == $40K - $60K),income_Category == $40K - $60K,4,-14,1,2,(Total_Trans_Amt <= 2748) AND (income_Category == $40K - $60K)
7,(Total_Trans_Amt > 2748),Total_Trans_Amt > 2748,15,-17,0,1,(Total_Trans_Amt > 2748)
7,(Total_Trans_Amt > 2748) AND (income_Category == $40K - $60K),income_Category == $40K - $60K,3,-9,1,2,(Total_Trans_Amt > 2748) AND (income_Category == $40K - $60K)
7,(Total_Trans_Amt > 2748) AND (income_Category == $80K - $120K),income_Category == $80K - $120K,3,-17,1,2,(Total_Trans_Amt > 2748) AND (income_Category == $80K - $120K)
7,(Total_Trans_Amt > 2748) AND (income_Category == Less than $40K),income_Category == Less than $40K,5,-28,1,2,(Total_Trans_Amt > 2748) AND (income_Category == Less than $40K)
8,(card_Category == Blue) AND (education_Level == Post-Graduate),education_Level == Post-Graduate,3,28,1,2,(card_Category == Blue) AND (education_Level == Post-Graduate)
8,(card_Category == Blue) AND (education_Level == Unknown),education_Level == Unknown,7,-3,1,2,(card_Category == Blue) AND (education_Level == Unknown)
8,(card_Category == Blue) AND (education_Level == High School),education_Level == High School,5,-9,1,2,(card_Category == Blue) AND (education_Level == High School)
9,(Total_Trans_Amt > 6826),Total_Trans_Amt > 6826,8,42,0,1,(Total_Trans_Amt > 6826)
9,(Total_Trans_Amt > 6826) AND (income_Category == $40K - $60K),income_Category == $40K - $60K,4,51,1,2,(Total_Trans_Amt > 6826) AND (income_Category == $40K - $60K)
9,(Total_Trans_Amt <= 6826),Total_Trans_Amt <= 6826,22,-15,0,1,(Total_Trans_Amt <= 6826)
9,(Total_Trans_Amt <= 6826) AND (income_Category == $60K - $80K),income_Category == $60K - $80K,6,-11,1,2,(Total_Trans_Amt <= 6826) AND (income_Category == $60K - $80K)
9,(Total_Trans_Amt <= 6826) AND (income_Category == Less than $40K),income_Category == Less than $40K,4,-15,1,2,(Total_Trans_Amt <= 6826) AND (income_Category == Less than $40K)
9,(Total_Trans_Amt <= 6826) AND (income_Category == $40K - $60K),income_Category == $40K - $60K,6,-23,1,2,(Total_Trans_Amt <= 6826) AND (income_Category == $40K - $60K)
9,(Total_Trans_Amt <= 6826) AND (income_Category == $40K - $60K) AND (education_Level == Graduate),education_Level == Graduate,3,-7,2,3,(Total_Trans_Amt <= 6826) AND (income_Category == $40K - $60K) AND (education_Level == Graduate)
9,(Total_Trans_Amt <= 6826) AND (income_Category == Unknown),income_Category == Unknown,4,-30,1,2,(Total_Trans_Amt <= 6826) AND (income_Category == Unknown)
10,(education_Level == Doctorate),education_Level == Doctorate,8,36,0,1,(education_Level == Doctorate)
10,(education_Level == Doctorate) AND (CLIENTNUM <= 714754533),CLIENTNUM <= 714754533,4,79,1,2,(education_Level == Doctorate) AND (CLIENTNUM <= 714754533)
10,(education_Level == Doctorate) AND (CLIENTNUM > 714754533),CLIENTNUM > 714754533,4,-6,1,2,(education_Level == Doctorate) AND (CLIENTNUM > 714754533)
10,(education_Level == Unknown),education_Level == Unknown,4,0,0,1,(education_Level == Unknown)
10,(education_Level == Uneducated),education_Level == Uneducated,7,0,0,1,(education_Level == Uneducated)
10,(education_Level == Uneducated) AND (marital_Status == Married),marital_Status == Married,3,26,1,2,(education_Level == Uneducated) AND (marital_Status == Married)
10,(education_Level == High School),education_Level == High School,3,-13,0,1,(education_Level == High School)
10,(education_Level == Graduate),education_Level == Graduate,6,-21,0,1,(education_Level == Graduate)
10,(education_Level == Graduate) AND (marital_Status == Married),marital_Status == Married,3,-20,1,2,(education_Level == Graduate) AND (marital_Status == Married)
12,(income_Category == $80K - $120K) AND (education_Level == High School) AND (marital_Status == Married),marital_Status == Married,3,56,2,3,(income_Category == $80K - $120K) AND (education_Level == High School) AND (marital_Status == Married)
13,(income_Category == $80K - $120K) AND (Total_Trans_Ct <= 69),Total_Trans_Ct <= 69,4,28,1,2,(income_Category == $80K - $120K) AND (Total_Trans_Ct <= 69)
13,(income_Category == $80K - $120K) AND (Total_Trans_Ct > 69),Total_Trans_Ct > 69,4,0,1,2,(income_Category == $80K - $120K) AND (Total_Trans_Ct > 69)
13,(income_Category == $60K - $80K) AND (card_Category == Silver),card_Category == Silver,4,0,1,2,(income_Category == $60K - $80K) AND (card_Category == Silver)
13,(income_Category == $40K - $60K) AND (card_Category == Blue),card_Category == Blue,3,-30,1,2,(income_Category == $40K - $60K) AND (card_Category == Blue)
14,(card_Category == Blue) AND (Dependent_count > 1),Dependent_count > 1,19,3,1,2,(card_Category == Blue) AND (Dependent_count > 1)
14,(card_Category == Blue) AND (Dependent_count > 1) AND (Customer_Age > 54),Customer_Age > 54,3,39,2,3,(card_Category == Blue) AND (Dependent_count > 1) AND (Customer_Age > 54)
14,(card_Category == Blue) AND (Dependent_count > 1) AND (Customer_Age <= 54),Customer_Age <= 54,16,-3,2,3,(card_Category == Blue) AND (Dependent_count > 1) AND (Customer_Age <= 54)
14,(card_Category == Blue) AND (Dependent_count > 1) AND (Customer_Age <= 54) AND (income_Category == $60K - $80K),income_Category == $60K - $80K,3,5,3,4,(card_Category == Blue) AND (Dependent_count > 1) AND (Customer_Age <= 54) AND (income_Category == $60K - $80K)
14,(card_Category == Blue) AND (Dependent_count > 1) AND (Customer_Age <= 54) AND (income_Category == $40K - $60K),income_Category == $40K - $60K,5,-6,3,4,(card_Category == Blue) AND (Dependent_count > 1) AND (Customer_Age <= 54) AND (income_Category == $40K - $60K)
14,(card_Category == Blue) AND (Dependent_count > 1) AND (Customer_Age <= 54) AND (income_Category == $40K - $60K) AND (attrition_Flag == Existing Customer),attrition_Flag == Existing Customer,4,0,4,5,(card_Category == Blue) AND (Dependent_count > 1) AND (Customer_Age <= 54) AND (income_Category == $40K - $60K) AND (attrition_Flag == Existing Customer)
